,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Installment_Purchases,0.045336776305338826,-0.23412862879806068,-0.06347509970837506,0.15041581262383766,0.6347340395491029,0.6865057350120649,0.8003939998753372,0.605188041820679,0.6957933036431656,-0.4582264055038895,-0.363836908560626,0.7999886483467689,0.3978809974460278,0.7812116259706272,-0.3459540837648147,-0.2770057618011546,0.02643281027690067
None_Of_the_Purchases,-0.1557958338738886,0.07951059317148762,-0.013632014877672878,0.4729634997278322,0.36740907740394496,0.2254696711816196,-0.01899612783853687,0.2541798240041857,-0.05016703678200857,0.7474188473822966,0.73187280700478,0.3184509351909897,-0.2816127776307096,0.38341591225394434,0.6529675099445994,0.520304147874018,-0.05604377608570936
One_Of_Purchase,-0.20233756893962068,0.06840765950173819,0.17736880793448712,-0.3879828829235951,0.5596770058723146,-0.1329891748994665,-0.4488151816491291,0.2998717044661623,-0.6348260723492631,-0.08697339256511309,-0.11170201822236571,-0.0039803564410455725,0.011179254838899942,0.37867777326085456,-0.053554388833400725,-0.18790012879882773,0.08147675040399473
BALANCE_FREQUENCY,-0.09377219742136382,0.013398747189331425,0.06052872482591212,0.48269129801504507,0.06434038399792845,-0.11195748625924264,-0.05876182311951991,0.13279655880261468,-0.1367922989516085,-0.24956533326414823,-0.3844582379345342,0.005600558788567581,-0.4943925585331175,-0.002493274605886866,-0.40673092591716,0.5693477572999,-0.2484415400275433
ONEOFF_PURCHASES,0.035864437355778135,0.03878166079948125,-0.051351528834313535,-0.09468073649700141,-0.0023291930366267505,0.2097115709424799,-0.0817076961491917,-0.2278361964649087,0.06332397707921769,-0.04590226789658614,-0.08091552350590044,0.06285014438025276,-0.3006983577905802,0.08413152015848531,-0.05395204001664059,0.19123276008597084,0.8565101828783406
INSTALLMENTS_PURCHASES,-0.09421573865841051,-0.07616046630455085,0.09787267180261859,0.28318688133725656,-0.04682085046884122,-0.453335551355903,0.23548469439363026,0.5152743728176599,-0.06172838459768835,0.04192604666878389,0.05342500125483608,-0.06545501263223841,0.16760020856954141,-0.22576814588706864,-0.005664213057027814,-0.07588356899521899,0.429227714512223
PURCHASES_FREQUENCY,0.020316606156683133,0.11061555520758955,-0.04304279376176228,0.38303956112522874,0.06844100984240682,0.10939676543123972,-0.1892056117143372,-0.2244133011718923,-0.12136995480874756,-0.006661233633453057,-0.06709836613603747,-0.12767345264193214,0.5874603221521204,0.09805596524350656,-0.06653655230147949,0.1570624815378282,0.09855646193567698
ONEOFF_PURCHASES_FREQUENCY,0.1459168327872086,-0.044649050464681934,-0.05807764202521096,0.03197138366290968,0.36044101775706083,-0.34698955700882483,0.12492833549826345,-0.23071788945243002,0.189363714944312,-0.0494526970135962,-0.02501650549321091,-0.22236154567279937,-0.06868521385902106,0.13804695728315527,0.12329057144293633,-1.894160736932795e-05,-0.0001520525981547192
PURCHASES_INSTALLMENTS_FREQUENCY,0.03663764022826481,-0.031103945455783395,-0.003009382072090603,-0.35950315893234586,0.010052402095977665,-0.12131191840691202,0.07493032601651019,0.06493872779504582,0.05220739730523654,0.021556493360013477,0.021472194675823533,0.0766261956894004,0.21970485746289364,-0.04155071994556557,-0.04804241456193822,0.46382014012257977,-0.017562640430646186
CASH_ADVANCE_FREQUENCY,-0.023123807106531516,9.581523598774077e-05,0.023689554646971082,0.008576283235335706,-0.07629003735359778,0.052698776636516086,0.0010425131882164846,0.06761217669612926,-0.042287759916512686,-0.23495366683503177,-0.2672632152236012,0.009204031675874209,0.023548166992202652,-0.02768419117334049,0.5103620193632096,0.08012709025538292,-0.0018383714095640555
CASH_ADVANCE_TRX,0.021623522617642003,-0.13440714263651996,0.12204004126356242,-0.04125337128297674,-0.02324751960996712,0.2174145703705291,0.12646160431336037,0.10567553185034005,-0.040117496127140585,-0.007577039666673075,0.05743001543894923,-0.40161830688848915,-0.019180880540338053,0.08635593748638502,-0.018086947090522592,0.06380900260726668,0.0016688509877191956
PURCHASES_TRX,0.06587935673145569,-0.1285642898668289,0.1443716204646264,0.0435303345419165,-0.003121399305207666,-0.018737717341375738,-0.023562091197955493,-0.07290900450470113,-0.060594371353805576,-0.2653454687814078,0.25090460967168626,0.09580816705698403,0.0035402848874099492,-0.015075732019792482,0.005222714772296127,0.019448464783912774,0.005110578631411324
PRC_FULL_PAYMENT,-0.09323985757239302,0.18085790739227386,-0.22387897537615128,-0.017602833861645,0.0036427153251592996,0.011732215626975646,-0.021644726222157972,0.08643272044030892,0.05161691233440525,-0.17056854051907414,0.1382496313261204,-0.08814162700702138,-0.011521999034672133,0.003009167681423337,-0.007403653748437858,0.013910446567045329,-0.0029308352473557515
Monthly_Avg_Purchase,0.24917171950149736,0.00367839631561499,-0.11073557181515895,0.00970762353936008,-0.007539075292179635,0.013689119541124816,0.0047988846073094985,0.064968394417823,-0.09884167398912855,0.007238749971022378,-0.0022493264085135358,0.013533782539335699,-0.015814920757101895,-0.00093020626480806,-6.733610748523341e-05,-0.0027054712464397368,-0.00016957736855350932
Monthly_Avg_Cash,-0.004264487482124852,0.11151208023222323,0.04388828568168848,-0.007284163070668159,-0.0005226666721149908,0.0019613554614919086,0.12495969548418324,-0.04811984888669098,-0.07948546078457934,-0.0039573696726688,0.004002221186796818,0.013759437042090388,-0.004599750161139449,0.003688497161528893,-0.0021968194550639497,-0.0015611185364648268,-0.0011396595747014523
Limit_Usage,-0.05808386947954673,-0.08844806552751674,-0.09043019379844491,1.9973730985255673e-05,-0.0012605060163783455,-0.0012019159217671203,0.0492547538585595,-0.0374996180970842,-0.06923547248099603,0.0028353398278161686,-0.0022944734519540553,0.010823168285378238,0.0013784502064239327,0.0010428077369960547,0.0004606899120465816,0.0005809543453540127,0.0005725005832510652
Pay_to_MinimumPay,0.0002467313237047674,0.0003883131310345785,-0.00026861374219553264,0.0002707750318958253,-0.03891135458945979,-0.021417798396128514,-0.0012076907199584674,0.00014956834755930972,0.0006301278137977084,-0.00037617658137575926,0.0005431172313552583,0.0008454312939567529,-8.445016858865995e-05,0.04985879824422406,-0.0007222362735104172,-0.000154910679110308,3.32414403227962e-05
